iter	Passed	Remaining
0	53	53329
1	53	26925
2	54	18069
3	54	13636
4	55	10984
5	55	9220
6	56	7944
7	56	6990
8	56	6252
9	57	5662
10	57	5172
11	57	4770
12	58	4426
13	58	4134
14	59	3878
15	59	3655
16	59	3461
17	60	3287
18	60	3129
19	61	2989
20	61	2862
21	61	2744
22	62	2639
23	62	2541
24	62	2450
25	63	2368
26	63	2291
27	63	2221
28	64	2154
29	64	2091
30	65	2032
31	65	1976
32	65	1924
33	66	1881
34	66	1836
35	66	1793
36	67	1754
37	67	1716
38	68	1680
39	68	1647
40	69	1614
41	69	1586
42	69	1556
43	70	1527
44	70	1499
45	71	1472
46	71	1447
47	71	1424
48	72	1400
49	72	1377
50	73	1358
51	73	1338
52	73	1317
53	74	1298
54	74	1279
55	74	1262
56	75	1245
57	75	1227
58	75	1211
59	76	1195
60	76	1180
61	77	1165
62	77	1151
63	77	1137
64	78	1124
65	78	1110
66	78	1098
67	79	1085
68	79	1074
69	79	1062
70	80	1051
71	80	1040
72	81	1030
73	81	1021
74	82	1012
75	82	1003
76	82	993
77	83	984
78	83	974
79	83	965
80	84	956
81	84	947
82	84	937
83	85	929
84	85	921
85	85	913
86	86	905
87	86	897
88	87	891
89	87	884
90	87	877
91	88	869
92	88	863
93	88	856
94	89	850
95	89	843
96	89	837
97	90	831
98	90	825
99	91	820
100	91	815
101	92	811
102	92	805
103	92	799
104	93	795
105	93	790
106	94	785
107	94	780
108	94	774
109	95	769
110	95	764
111	95	760
112	96	755
113	96	753
114	97	749
115	97	745
116	98	740
117	98	735
118	98	731
119	99	726
120	99	722
121	99	717
122	100	713
123	100	709
124	100	705
125	101	701
126	101	697
127	101	692
128	102	689
129	102	686
130	102	682
131	103	678
132	103	675
133	103	671
134	104	668
135	104	664
136	104	661
137	105	657
138	105	654
139	106	651
140	106	648
141	106	644
142	106	640
143	107	638
144	107	635
145	108	633
146	108	630
147	108	627
148	109	624
149	109	621
150	110	618
151	111	619
152	111	618
153	112	616
154	112	614
155	113	611
156	113	609
157	113	606
158	114	603
159	114	601
160	114	597
161	115	595
162	115	592
163	115	590
164	116	587
165	116	585
166	116	582
167	117	580
168	117	578
169	117	575
170	118	573
171	118	570
172	118	568
173	119	566
174	119	563
175	119	561
176	120	559
177	120	556
178	120	554
179	121	552
180	121	550
181	122	548
182	122	546
183	122	544
184	123	542
185	123	540
186	123	538
187	124	537
188	124	535
189	125	533
190	125	531
191	125	529
192	126	528
193	126	527
194	127	525
195	127	524
196	128	522
197	128	520
198	128	518
199	129	516
200	129	514
201	129	512
202	130	511
203	130	509
204	130	507
205	131	506
206	131	504
207	132	502
208	132	500
209	132	499
210	132	497
211	133	495
212	133	494
213	134	492
214	134	490
215	134	489
216	135	487
217	135	485
218	135	483
219	136	482
220	136	480
221	136	478
222	136	477
223	137	475
224	137	474
225	138	472
226	138	471
227	138	469
228	139	468
229	139	466
230	139	465
231	140	463
232	140	462
233	140	460
234	141	459
235	141	458
236	141	456
237	142	455
238	142	453
239	142	452
240	143	451
241	143	449
242	143	448
243	144	447
244	144	446
245	145	444
246	145	443
247	145	442
248	146	440
249	146	439
250	146	438
251	147	436
252	147	435
253	147	434
254	148	432
255	148	431
256	148	430
257	149	429
258	149	428
259	149	426
260	150	425
261	150	424
262	150	422
263	151	421
264	151	420
265	151	419
266	152	418
267	152	416
268	152	415
269	153	414
270	153	413
271	153	412
272	154	410
273	154	409
274	154	408
275	155	407
276	155	406
277	156	405
278	156	404
279	156	403
280	157	402
281	157	401
282	157	400
283	158	399
284	158	397
285	158	396
286	159	395
287	159	394
288	159	393
289	160	392
290	160	391
291	160	390
292	161	389
293	161	388
294	161	387
295	162	386
296	162	384
297	162	383
298	163	382
299	163	381
300	164	380
301	164	379
302	164	378
303	165	377
304	165	376
305	165	375
306	166	374
307	166	373
308	166	372
309	166	371
310	167	370
311	167	369
312	167	368
313	168	367
314	168	367
315	169	366
316	169	365
317	170	364
318	170	364
319	170	363
320	171	362
321	171	361
322	172	360
323	172	360
324	172	359
325	173	358
326	173	357
327	174	356
328	174	355
329	174	355
330	175	354
331	175	353
332	175	352
333	176	351
334	176	350
335	177	349
336	177	349
337	177	348
338	178	347
339	178	346
340	179	346
341	179	345
342	179	344
343	180	343
344	180	342
345	180	341
346	181	340
347	181	340
348	181	339
349	182	338
350	182	337
351	182	336
352	183	335
353	183	335
354	183	334
355	184	334
356	185	333
357	185	332
358	185	331
359	186	330
360	186	330
361	186	329
362	187	328
363	187	327
364	187	326
365	188	325
366	188	324
367	188	324
368	189	323
369	189	322
370	189	321
371	190	321
372	190	320
373	190	319
374	191	318
375	191	317
376	191	317
377	192	316
378	192	315
379	192	314
380	193	313
381	193	312
382	193	312
383	194	311
384	194	310
385	194	309
386	194	308
387	195	308
388	195	307
389	195	306
390	196	305
391	196	304
392	196	303
393	197	303
394	197	302
395	197	301
396	198	301
397	198	300
398	199	299
399	199	299
400	199	298
401	200	297
402	200	297
403	200	296
404	201	295
405	201	294
406	201	294
407	202	293
408	202	292
409	202	291
410	203	291
411	203	290
412	203	289
413	204	288
414	204	288
415	204	287
416	205	286
417	205	286
418	205	285
419	206	284
420	206	284
421	206	283
422	207	282
423	207	281
424	207	281
425	208	280
426	208	279
427	208	279
428	209	278
429	209	277
430	209	277
431	210	276
432	210	275
433	210	275
434	211	274
435	211	273
436	211	273
437	212	272
438	212	272
439	213	271
440	213	271
441	214	270
442	214	270
443	215	269
444	215	268
445	216	268
